active_member,employment_profile,gender,age,income,credit_history,existing_loans,loan_amount,loan_tenure_months,LTV_ratio,profile_score,Credit_Score
No,Self-Employed,Female,38,25000,609,5,85952,177,67.20927989218688,92,627
No,Self-Employed,Female,28,38000,308,0,50881,62,90.03888520607136,22,300
No,Salaried,Female,57,160000,166,1,150000,35,78.26260856795196,56,401
No,Salaried,Male,36,46000,318,5,140112,20,83.49620750843692,94,586
Yes,Salaried,Female,69,136000,109,8,106403,245,70.62993143822861,95,762
Yes,Salaried,Female,65,62000,571,10,66432,241,49.523978662052166,100,850
Yes,Self-Employed,Male,49,54000,611,9,39735,127,64.90965780495493,93,813
Yes,Salaried,Female,49,125000,558,10,150000,124,40,92,850
No,Self-Employed,Male,49,34000,48,3,71522,28,55.12267770558426,84,511
Yes,Salaried,Female,46,114000,262,6,150000,108,84.28425179860335,94,671
No,Freelancer,Male,28,27000,411,0,24194,100,73.38866421056609,38,300
Yes,Self-Employed,Male,35,63000,406,8,103596,145,40,100,757
No,Unemployed,Female,51,82000,450,1,150000,13,63.94497469499321,34,389
No,Salaried,Female,57,109000,225,3,94922,90,54.01981184,89,483
No,Salaried,Male,58,128000,504,4,92087,87,75.06996722,98,534
Yes,Self-Employed,Male,50,126000,441,9,134945,324,65.19494599973224,100,849
Yes,Unemployed,Female,57,29000,573,8,113472,193,52.389991206036555,100,773
No,Salaried,Female,45,99000,530,2,150000,72,60.83765763665468,73,417
No,Self-Employed,Female,38,33000,42,2,37157,49,95,40,438
Yes,Unemployed,Female,68,48000,250,7,75215,237,69.47664916863583,95,697
Yes,Self-Employed,Female,31,27000,126,6,87916,81,65.80062060198966,96,677
No,Freelancer,Other,48,87000,505,6,150000,135,93.95212927525819,82,644
No,Self-Employed,Female,39,88000,583,3,143895,98,95,57,465
No,Freelancer,Female,43,36000,394,4,38063,61,61.940166440727985,100,548
Yes,Salaried,Female,60,132000,290,10,150000,74,61.616945036845905,100,850
No,Salaried,Male,37,74000,561,2,150000,110,66.09829881077529,100,461
No,Freelancer,Female,34,54000,111,2,148905,40,65.90965293911046,80,419
No,Freelancer,Female,23,50000,54,4,150000,72,71.67131860832329,66,547
Yes,Freelancer,Male,43,73000,30,8,150000,292,77.93679120790566,100,750
No,Salaried,Male,32,29000,458,1,46668,52,94.65328257,28,399
No,Salaried,Male,61,177000,501,2,116232,44,79.93124316622641,57,437
No,Student,Male,21,54000,192,4,150000,103,95,62,559
No,Self-Employed,Female,59,83000,507,2,150000,84,61.176084579261484,76,442
No,Self-Employed,Female,43,105000,235,4,150000,79,70.43414460054156,82,563
Yes,Unemployed,Female,46,115000,364,8,96732,181,54.10687867817745,94,775
No,Salaried,Male,31,68000,193,4,104662,118,90.62061815,61,568
No,Unemployed,Male,39,73000,168,2,72878,109,69.81178161736648,69,411
No,Salaried,Male,28,21000,78,4,41812,74,76.83785169939165,90,535
Yes,Salaried,Male,52,53000,427,8,33545,336,80.12753378024675,98,745
No,Self-Employed,Male,60,131000,283,5,88447,179,77.62809822279273,97,625
Yes,Salaried,Male,31,54000,134,8,150000,151,85.69005921,100,786
No,Self-Employed,Female,55,116000,259,1,105678,24,78.90617034192238,32,383
No,Self-Employed,Female,29,14000,552,4,53776,96,82.39988582931252,75,560
Yes,Self-Employed,Other,36,77000,194,9,108756,269,40,100,805
Yes,Salaried,Male,34,75000,332,8,101316,224,68.91205473232344,90,775
No,Student,Female,43,23000,108,1,36968,28,86.53018205510108,47,397
No,Self-Employed,Female,66,144000,529,5,150000,112,65.73270322018863,97,581
Yes,Self-Employed,Male,34,34000,247,9,58173,148,66.51314271659578,100,800
No,Salaried,Male,68,138000,436,1,150000,37,95,30,390
Yes,Salaried,Male,48,41000,555,6,90554,343,73.4582235,99,681
No,Unemployed,Male,18,25000,392,1,107987,115,94.51508651557955,6,397
No,Salaried,Male,47,132000,117,2,79578,61,95,55,420
No,Salaried,Female,47,64000,230,4,64568,18,70.12126414519763,82,531
Yes,Salaried,Female,43,74000,443,7,69016,340,55.11629914,99,698
No,Freelancer,Male,45,87000,458,2,131973,80,68.82538066224409,49,410
No,Freelancer,Female,42,87000,592,1,145846,72,69.71490927857356,38,374
Yes,Unemployed,Male,27,59000,49,7,150000,282,57.404829249998215,94,709
No,Salaried,Male,37,28000,382,5,131138,169,95,64,607
No,Self-Employed,Male,20,54000,410,0,72194,71,61.376326766219194,36,300
Yes,Salaried,Male,69,166000,274,9,150000,198,72.86681095698653,99,803
Yes,Freelancer,Female,43,33000,473,8,130312,241,69.38011606466063,92,745
Yes,Salaried,Male,47,140000,371,10,150000,217,56.074023600055995,91,850
No,Unemployed,Female,31,62000,455,1,75681,71,88.11268357379778,21,373
No,Self-Employed,Male,35,92000,365,4,128965,59,71.62060009879741,93,537
No,Salaried,Female,22,39000,179,6,99378,231,67.59407376244755,100,647
No,Salaried,Male,66,138000,461,3,150000,94,79.68947668349723,91,495
No,Salaried,Female,20,43000,491,3,72442,83,64.49263349937152,97,498
No,Salaried,Male,54,142000,105,5,82941,59,60.16455405221431,93,579
Yes,Salaried,Male,62,161000,414,6,71372,76,77.50397216466976,100,675
No,Student,Male,27,46000,336,5,91411,262,68.15813788,93,621
No,Student,Male,47,41000,519,5,112254,41,95,69,584
No,Salaried,Female,18,39000,67,5,150000,53,94.42317800749885,95,598
Yes,Self-Employed,Female,27,24000,9,8,53667,61,40,100,768
Yes,Salaried,Female,42,54000,328,7,127134,130,75.98266280138861,100,727
Yes,Salaried,Female,63,166000,245,7,150000,193,72.30737645,97,697
No,Salaried,Male,33,98000,508,4,64163,40,95,85,552
Yes,Salaried,Female,31,27000,150,7,128970,307,40,96,737
Yes,Freelancer,Female,54,93000,29,10,150000,198,40,100,850
No,Salaried,Male,47,125000,479,3,150000,76,51.95966455,92,504
No,Self-Employed,Female,42,73000,516,5,79435,114,83.70115116,85,594
Yes,Salaried,Female,60,82000,294,9,150000,320,71.91282018,96,841
Yes,Salaried,Male,56,156000,348,7,98033,158,61.52406667,100,729
No,Salaried,Female,52,26000,259,4,125748,116,88.39562416648494,94,553
No,Unemployed,Female,36,29000,304,1,101574,118,60.96007527903427,67,365
No,Self-Employed,Other,41,93000,409,4,61965,65,83.18007637908981,47,521
No,Student,Male,31,45000,214,2,52867,70,70.3570467,44,422
No,Salaried,Male,68,186000,483,2,57290,18,92.68929806285362,39,462
No,Salaried,Male,51,46000,604,0,140230,48,51.08403527362189,76,320
No,Salaried,Female,45,73000,378,6,150000,347,72.26893721706823,100,636
No,Salaried,Male,51,143000,403,3,150000,59,69.70018946232456,80,496
Yes,Salaried,Female,36,36000,7,7,20046,219,52.72163923993168,96,691
No,Freelancer,Female,31,51000,292,2,150000,28,95,31,413
No,Unemployed,Female,34,72000,570,3,138281,89,87.46025336576942,37,492
No,Unemployed,Female,62,47000,239,4,92822,17,73.08010802531545,88,532
No,Salaried,Female,46,69000,586,3,145275,53,95,45,480
Yes,Self-Employed,Male,34,92000,400,8,150000,317,40,92,761
Yes,Self-Employed,Female,51,106000,223,9,93620,128,81.09822287570483,91,833
Yes,Salaried,Other,69,151000,102,10,150000,117,67.78209829,100,850
Yes,Salaried,Female,68,161000,275,8,136762,156,47.98079528397659,100,758
Yes,Salaried,Male,22,31000,266,10,113277,144,64.26740744822249,100,850
No,Salaried,Male,34,94000,547,0,150000,15,95,21,326
No,Salaried,Female,60,46000,20,3,150000,91,85.17769392110569,59,491
No,Self-Employed,Male,51,135000,374,5,150000,245,50.16107253545339,99,608
No,Salaried,Male,33,41000,16,5,149424,65,91.90329913320045,68,593
No,Salaried,Male,70,172000,301,2,150000,108,76.41707478386925,62,424
No,Self-Employed,Female,20,26000,455,1,72776,46,95,43,397
No,Student,Male,39,40000,396,3,27691,30,89.86024614431795,60,517
Yes,Salaried,Female,66,99000,528,7,150000,117,50.78706720171082,95,700
No,Student,Male,63,38000,137,2,150000,88,95,21,429
No,Self-Employed,Male,49,119000,274,3,150000,78,55.76118787804619,95,486
Yes,Self-Employed,Female,46,122000,369,9,150000,358,63.26413502676981,91,834
No,Self-Employed,Male,33,20000,348,5,99135,55,50.78743354170211,97,583
Yes,Freelancer,Male,24,30000,44,7,40227,352,40,90,725
Yes,Salaried,Male,39,41000,595,8,30330,340,42.56084509393146,100,790
No,Salaried,Female,35,38000,89,5,125624,60,95,79,600
Yes,Unemployed,Male,61,63000,151,7,51359,176,49.4453559,100,702
Yes,Salaried,Male,45,98000,587,10,128658,117,44.277976357737856,94,850
No,Salaried,Male,23,64000,284,2,142567,24,90.34600235282338,49,452
No,Salaried,Female,55,157000,22,5,150000,192,73.97172544921058,89,629
No,Salaried,Female,55,142000,283,1,150000,74,95,53,405
Yes,Salaried,Female,60,152000,262,7,150000,100,42.16250242132536,100,703
No,Self-Employed,Male,24,21000,78,0,21194,41,58.95972558,59,300
No,Salaried,Male,67,84000,291,2,150000,58,56.12056546331428,100,423
No,Salaried,Male,46,81000,410,1,73414,104,56.02190991159658,90,386
Yes,Self-Employed,Male,26,74000,332,8,56069,95,40,94,743
No,Self-Employed,Male,38,27000,491,2,68082,102,86.90157162990657,36,458
No,Student,Female,30,82000,106,5,94554,63,95,62,624
Yes,Salaried,Other,48,25000,559,8,24153,255,81.40663906,99,790
Yes,Self-Employed,Male,51,124000,378,9,94844,96,56.556945905185984,97,807
Yes,Self-Employed,Female,65,39000,176,7,65531,147,40,93,715
No,Self-Employed,Male,50,96000,141,2,126764,63,80.36182236043729,53,452
No,Salaried,Female,69,165000,456,4,80126,67,92.51718956220243,55,558
Yes,Salaried,Female,38,59000,450,9,87063,219,40,100,810
No,Salaried,Female,51,61000,575,4,64026,64,56.64636126401842,96,541
Yes,Salaried,Female,39,43000,563,6,67178,239,95,73,668
Yes,Salaried,Female,39,72000,283,10,62050,257,49.97867442125836,100,850
No,Self-Employed,Male,40,25000,69,0,124275,33,75.62714313365512,48,300
No,Self-Employed,Other,55,156000,374,4,121971,87,88.06673171342916,63,557
No,Student,Male,28,63000,374,3,85644,108,91.71603090550704,30,510
No,Salaried,Male,61,32000,481,2,119732,51,70.86095366755687,67,422
Yes,Unemployed,Male,32,20000,555,7,85680,103,40,100,708
No,Self-Employed,Male,54,90000,502,6,98973,144,95,73,630
No,Salaried,Other,19,10000,287,5,49498,28,89.36041531641985,78,588
Yes,Unemployed,Female,34,61000,31,6,150000,243,63.10324947359278,90,658
Yes,Salaried,Female,51,142000,592,7,117277,173,45.85826340017519,100,702
Yes,Salaried,Male,62,138000,447,9,150000,253,40,98,803
No,Student,Male,53,79000,609,3,150000,108,58.41892975092074,58,496
Yes,Salaried,Male,50,145000,26,8,94158,235,54.28620330311196,100,753
No,Self-Employed,Female,27,37000,448,5,138390,107,95,67,583
Yes,Salaried,Female,27,55000,526,8,89459,78,53.799917371400475,100,756
No,Freelancer,Female,51,121000,371,4,88720,37,87.45731151,74,550
Yes,Self-Employed,Other,33,17000,258,6,28456,79,95,72,678
Yes,Self-Employed,Male,58,113000,310,10,129464,286,40.338965268536015,100,850
No,Freelancer,Female,37,24000,332,0,37928,113,86.12004969806284,42,300
No,Salaried,Male,65,103000,38,1,51346,104,95,43,370
No,Unemployed,Male,19,17000,575,1,66595,44,63.02408969505696,33,361
No,Salaried,Male,35,72000,93,3,57883,60,63.11566585112902,94,502
No,Salaried,Female,69,187000,583,1,58907,100,95,53,399
Yes,Salaried,Male,34,54000,239,6,102547,211,72.39926307,100,663
No,Salaried,Female,51,108000,426,2,150000,47,58.49010509474529,97,459
Yes,Salaried,Female,66,147000,449,8,144498,265,49.43310737098733,93,752
No,Salaried,Female,69,113000,572,3,76688,114,70.79173753463681,86,473
No,Salaried,Female,20,24000,106,2,95325,84,69.95595830542806,76,438
No,Self-Employed,Male,47,41000,45,4,48708,27,52.2289685,97,538
No,Salaried,Female,58,153000,431,1,90579,40,55.054465085180595,73,397
No,Student,Female,32,93000,128,3,150000,71,84.40853563503448,60,483
No,Salaried,Male,35,71000,57,3,106220,71,83.95566760191574,55,477
No,Salaried,Female,64,151000,567,5,78990,318,71.43733060432844,91,622
No,Student,Male,51,26000,267,3,109509,111,60.122534955311565,55,484
No,Salaried,Female,29,52000,598,2,144037,97,55.11116480266346,81,423
Yes,Freelancer,Male,53,37000,406,7,120247,186,76.45628996626955,96,723
Yes,Salaried,Female,30,75000,53,6,64234,271,71.47270091433376,99,679
Yes,Salaried,Female,68,167000,361,9,76655,137,65.90054194807918,100,833
Yes,Salaried,Male,63,145000,436,7,150000,147,44.94137931112236,91,713
Yes,Salaried,Female,20,28000,40,9,95301,106,85.21797117241258,100,798
Yes,Salaried,Male,68,167000,342,6,150000,327,93.28065894602486,75,651
Yes,Student,Female,53,41000,541,9,107274,184,57.758227594545616,100,802
Yes,Salaried,Female,41,50000,101,9,37585,136,65.47838646225549,100,808
No,Self-Employed,Male,27,24000,399,0,112328,113,74.83846707,37,346
No,Student,Male,30,72000,533,1,51478,12,95,2,386
Yes,Salaried,Male,56,149000,352,10,54530,132,40,92,850
No,Salaried,Female,34,95000,477,2,114673,81,55.12748368624043,96,427
No,Unemployed,Male,34,50000,212,6,150000,83,73.02464987654268,85,630
No,Salaried,Female,43,51000,398,2,55151,81,93.53548493397804,35,416
No,Salaried,Female,25,57000,532,0,59549,91,67.23196429713988,69,300
No,Self-Employed,Other,51,97000,590,6,150000,262,71.13901832833524,97,641
No,Salaried,Male,48,26000,154,5,89072,337,93.63731950042225,92,602
Yes,Self-Employed,Male,30,43000,180,9,90420,336,72.95776242816157,94,812
No,Self-Employed,Male,29,69000,263,5,102058,80,78.32238443143771,82,583
Yes,Salaried,Female,41,31000,452,9,111489,127,47.10889429916168,100,821
No,Student,Female,20,20000,282,5,95749,312,93.31249616894901,71,628
Yes,Freelancer,Male,64,159000,234,7,150000,118,42.67224898051186,92,731
No,Salaried,Male,27,38000,40,4,132467,86,64.52052518,89,537
No,Salaried,Female,25,72000,602,0,127191,17,89.56267461,11,300
No,Unemployed,Female,52,83000,370,3,64417,37,92.74295475607781,57,476
No,Salaried,Female,57,130000,296,1,150000,116,77.51957248508917,52,381
No,Freelancer,Male,42,38000,578,0,88381,47,92.61575132934772,4,300
No,Self-Employed,Other,27,24000,363,4,39445,104,83.0446493,87,563
Yes,Salaried,Male,33,40000,305,8,45689,272,65.65915794853429,100,777
Yes,Self-Employed,Female,49,124000,66,8,150000,279,63.20340082791277,99,741
No,Self-Employed,Female,18,50000,465,4,150000,81,67.64937504613737,66,532
Yes,Salaried,Female,19,46000,599,10,150000,140,73.53730726253835,94,850
No,Self-Employed,Female,56,45000,91,0,53916,74,67.72244819019895,36,354
No,Unemployed,Male,36,23000,168,3,65758,95,91.72334866833172,48,512
Yes,Freelancer,Female,50,52000,55,6,110348,228,77.21468329950685,87,656
No,Self-Employed,Female,24,70000,596,2,144707,98,59.91444705557441,63,431
No,Salaried,Male,25,52000,274,2,90810,64,95,32,439
No,Salaried,Male,45,32000,513,4,72186,114,61.13674516908369,91,557
Yes,Student,Male,23,49000,415,8,150000,111,53.968444220642205,93,788
Yes,Unemployed,Male,32,37000,283,7,131446,263,78.67365695322134,97,713
No,Salaried,Male,19,50000,183,1,150000,88,55.03688255667266,65,379
Yes,Salaried,Male,43,122000,108,9,125411,353,60.154077684594796,100,842
Yes,Self-Employed,Female,59,90000,274,8,150000,156,66.50364729095176,92,789
No,Student,Female,53,147000,437,5,150000,221,68.47093557294977,100,618
Yes,Unemployed,Female,47,62000,578,7,113540,349,49.24899589544972,100,714
No,Salaried,Female,60,103000,363,2,150000,64,86.79963415455535,68,416
Yes,Salaried,Female,26,77000,56,9,150000,134,62.42662798499525,90,834
No,Self-Employed,Male,46,60000,113,5,150000,186,77.14227505272152,99,608
Yes,Salaried,Female,27,61000,543,10,32253,219,61.74282260801034,100,850
No,Salaried,Female,35,28000,408,3,22277,92,68.01977635340978,64,473
No,Salaried,Female,62,157000,601,1,133762,71,62.48735425066555,62,385
Yes,Student,Female,64,54000,94,7,144781,227,59.929554143681884,94,725
No,Salaried,Female,33,73000,224,2,102149,27,95,39,412
Yes,Self-Employed,Female,18,43000,584,7,50437,164,86.99761446736633,99,699
Yes,Salaried,Female,54,79000,474,8,132937,173,66.10527490870902,100,759
No,Self-Employed,Other,56,61000,164,4,37629,79,95,47,534
Yes,Self-Employed,Female,58,127000,222,9,150000,154,85.25674047199229,100,803
No,Unemployed,Female,49,58000,435,3,150000,118,88.23773833156645,54,479
No,Self-Employed,Female,66,88000,375,3,117206,54,73.03291685207992,54,495
Yes,Salaried,Male,25,45000,238,6,150000,95,74.9188525,90,662
Yes,Freelancer,Female,21,12000,186,6,47266,122,78.07708554772717,87,661
No,Salaried,Female,48,122000,546,6,150000,186,60.94323113420209,100,636
No,Freelancer,Male,59,58000,143,4,135105,119,52.27556264307345,100,560
No,Unemployed,Female,22,54000,120,5,150000,93,80.27967754195114,81,590
Yes,Salaried,Male,51,117000,380,7,150000,170,70.89766300648162,100,687
No,Salaried,Male,64,162000,194,1,88506,57,79.27206988383178,67,401
Yes,Salaried,Male,64,179000,404,10,141437,186,49.17098163950808,100,850
No,Self-Employed,Female,45,27000,186,4,133979,70,95,73,541
Yes,Self-Employed,Male,44,96000,560,8,150000,227,74.71728268374264,96,762
Yes,Unemployed,Female,23,28000,352,6,59629,289,76.94426969871182,96,663
No,Unemployed,Female,21,26000,604,0,101895,71,76.50708630386606,34,300
Yes,Self-Employed,Male,31,34000,39,7,117292,262,56.44816979811873,100,703
Yes,Salaried,Female,59,166000,526,7,133188,193,40,97,720
Yes,Self-Employed,Female,60,62000,294,9,102938,204,59.51760738659527,91,805
No,Self-Employed,Female,43,38000,162,5,142862,102,51.55399677,96,593
No,Salaried,Female,42,66000,159,4,150000,23,67.62918394998601,98,534
No,Unemployed,Female,21,61000,585,5,150000,69,92.17998984928529,47,576
No,Salaried,Male,41,86000,239,2,150000,74,65.08018758469854,64,454
No,Salaried,Female,53,29000,221,0,108190,53,58.50192374146005,64,352
Yes,Salaried,Other,41,48000,92,9,130160,134,40,100,796
Yes,Self-Employed,Female,49,96000,23,7,121850,336,84.60317388110562,100,694
No,Salaried,Female,66,57000,354,1,140468,108,89.73225549510354,68,402
No,Salaried,Female,19,16000,453,4,61628,51,61.82766735928763,88,562
Yes,Salaried,Male,24,69000,579,7,143403,133,73.76177448140353,100,730
No,Self-Employed,Female,46,40000,36,0,61531,116,82.96721461542452,42,314
No,Freelancer,Female,49,81000,531,2,143157,34,72.28121446573243,71,425
No,Self-Employed,Female,57,62000,147,4,51375,110,89.41212087288831,73,538
No,Salaried,Female,58,53000,179,1,93575,29,52.88668579383039,75,388
No,Self-Employed,Male,60,107000,452,5,102024,321,69.06610688321489,90,623
Yes,Salaried,Male,61,167000,50,8,150000,143,64.08517846626367,91,789
Yes,Unemployed,Female,41,110000,535,7,89749,257,71.13806053803653,96,728
Yes,Salaried,Male,42,88000,306,9,111257,155,80.03301784551923,100,806
No,Unemployed,Male,35,38000,367,0,150000,48,53.38799525840148,64,300
Yes,Self-Employed,Male,58,132000,211,7,147751,311,40,100,703
Yes,Salaried,Female,45,107000,302,8,150000,322,74.20469080729097,100,790
No,Freelancer,Male,47,59000,406,2,97077,63,95,33,426
No,Salaried,Female,44,51000,560,1,48119,83,88.37188548713782,37,377
No,Self-Employed,Female,44,118000,467,2,150000,48,95,29,417
Yes,Self-Employed,Female,46,110000,602,6,90104,112,58.671175953355615,94,653
No,Salaried,Male,33,86000,24,5,150000,250,60.02140331849195,100,616
Yes,Freelancer,Female,70,195000,114,6,120012,237,53.77565638443994,92,658
No,Salaried,Male,37,54000,246,6,132435,208,70.30396698457423,92,645
Yes,Salaried,Other,66,192000,238,10,150000,207,74.77247380496306,100,850
No,Salaried,Female,36,96000,552,0,71815,69,95,36,334
No,Salaried,Male,62,144000,204,3,118382,78,71.65395892647011,78,486
No,Self-Employed,Female,31,69000,556,5,80001,173,81.93596818372336,71,629
No,Self-Employed,Male,18,53000,270,3,99911,103,93.36338506577357,69,487
No,Self-Employed,Female,51,116000,462,1,56727,41,91.19545675931185,50,386
No,Self-Employed,Male,31,51000,89,4,101370,84,75.99461660952602,82,531
Yes,Unemployed,Female,21,10000,193,6,36414,76,94.37296894487542,80,655
No,Freelancer,Male,28,79000,223,6,132894,281,54.56828311151758,90,647
No,Salaried,Other,46,109000,420,1,66865,108,95,51,377
No,Salaried,Female,54,50000,554,1,99208,44,90.73467431369642,37,368
No,Salaried,Female,70,132000,390,2,150000,112,95,42,443
Yes,Freelancer,Male,44,109000,552,7,138976,154,64.77643065113892,99,719
Yes,Student,Male,35,94000,37,8,139894,145,63.107550000577504,90,749
No,Salaried,Female,63,39000,355,4,147724,12,87.78938557456976,86,561
Yes,Self-Employed,Other,39,58000,154,9,91479,121,40,100,807
No,Salaried,Female,37,40000,581,5,105533,71,67.57362048738237,92,621
No,Salaried,Male,48,130000,468,2,125126,64,55.81712761252356,75,419
Yes,Salaried,Male,50,39000,603,10,114786,285,40,97,850
Yes,Salaried,Male,18,10000,400,7,45355,325,60.47089547347349,98,721
No,Unemployed,Female,34,49000,302,0,83149,50,50.83444012633262,59,300
No,Salaried,Male,64,34000,499,4,20426,101,90.76248957718988,66,535
Yes,Self-Employed,Male,44,96000,560,8,150000,227,74.71728268374264,96,762
No,Unemployed,Male,31,35000,316,3,45494,83,95,36,483
No,Self-Employed,Male,52,65000,202,0,83134,98,67.20294658873246,27,300
No,Self-Employed,Female,69,139000,300,6,53549,126,95,64,648
No,Self-Employed,Female,21,45000,594,3,130319,83,91.88587139948147,41,474
No,Salaried,Male,60,88000,22,2,82869,42,87.26514130151622,41,457
No,Freelancer,Female,55,43000,292,0,26478,83,79.4492104,29,327
Yes,Salaried,Male,57,143000,129,8,126059,84,59.18625631807687,98,771
No,Self-Employed,Female,60,84000,438,4,51000,96,91.78385977104972,79,572
No,Self-Employed,Female,45,63000,307,1,122498,30,95,36,388
No,Salaried,Female,51,125000,528,3,108204,46,58.81624727,100,513
Yes,Salaried,Male,64,184000,554,7,118757,201,66.28981870788152,93,729
No,Salaried,Male,49,105000,73,4,93594,25,74.61423224195346,99,540
Yes,Salaried,Male,63,81000,438,9,120138,81,40,92,801
No,Student,Male,39,61000,287,3,150000,84,57.730963442944464,54,478
No,Salaried,Male,50,87000,468,4,79338,96,55.035499748053496,94,563
No,Self-Employed,Female,21,50000,270,3,80297,56,68.42352907984323,60,502
No,Freelancer,Male,27,67000,370,2,150000,105,67.46887664851413,73,429
No,Self-Employed,Female,23,63000,8,2,135712,32,85.98170141462015,36,447
No,Unemployed,Female,46,36000,147,6,136487,262,54.649233719377094,100,638
No,Student,Male,42,96000,418,0,79318,13,71.63636726445567,46,300
No,Salaried,Male,66,171000,39,2,73774,58,68.81388356500827,64,435
No,Salaried,Male,59,154000,112,2,150000,21,94.71444827419332,49,441
No,Freelancer,Male,29,15000,89,3,26131,89,73.41297883345989,77,500
No,Freelancer,Male,36,46000,234,2,150000,28,79.49922285,59,451
No,Self-Employed,Female,54,85000,440,0,132964,82,56.04354820593076,49,339
No,Self-Employed,Male,27,63000,499,4,129025,72,87.73415227271298,45,538
No,Salaried,Male,59,133000,321,1,113195,79,77.58361556105696,63,391
No,Self-Employed,Female,26,14000,29,5,51107,323,73.17588001829084,100,629
Yes,Salaried,Female,38,26000,289,7,64328,321,71.99033800515373,99,694
No,Student,Female,45,86000,33,0,101424,34,84.20389147594193,0,312
No,Salaried,Male,18,11000,413,5,31233,12,65.06305585078981,93,592
Yes,Unemployed,Female,34,90000,322,7,89453,214,65.45031156724053,94,725
No,Salaried,Male,57,109000,63,3,150000,51,76.97543871373571,66,478
Yes,Salaried,Female,64,43000,161,7,59629,173,82.58250067908975,100,719
No,Self-Employed,Female,41,30000,101,0,50349,35,86.71737528036525,21,300
Yes,Salaried,Female,31,91000,557,7,116482,163,69.30722319309147,100,693
Yes,Student,Male,39,38000,219,8,145996,359,40,100,753
No,Salaried,Female,35,67000,552,4,114595,114,61.00372975010738,88,525
No,Student,Male,60,92000,420,3,127936,37,86.39396597992373,64,519
No,Salaried,Female,26,27000,292,6,39096,292,56.878544266708005,99,649
No,Unemployed,Male,50,81000,460,4,148375,91,84.94119597518088,74,539
Yes,Unemployed,Male,54,99000,65,8,109692,131,77.27182177883887,91,740
Yes,Salaried,Male,48,119000,540,10,150000,103,63.09077804341388,96,850
Yes,Salaried,Female,34,73000,463,8,150000,181,42.58072710064237,93,749
Yes,Student,Female,25,30000,254,10,63022,225,59.14666510403026,99,850
Yes,Salaried,Female,60,43000,525,9,26863,166,79.92745773833194,92,814
No,Unemployed,Male,40,63000,183,1,124918,83,83.81691334150173,32,356
Yes,Salaried,Female,46,117000,60,7,64610,201,47.24138731905255,92,734
No,Self-Employed,Male,64,36000,292,0,150000,26,68.61902577211134,51,325
Yes,Salaried,Male,34,100000,559,6,136920,83,84.26477454312057,87,683
No,Self-Employed,Female,60,100000,542,2,150000,15,79.99576001522951,37,435
No,Unemployed,Female,47,26000,293,5,20571,42,81.9173095,67,592
No,Salaried,Male,29,16000,138,0,37935,25,85.99123638,18,300
Yes,Self-Employed,Male,20,44000,8,7,55454,298,54.166980652035235,91,705
No,Salaried,Male,70,139000,215,1,118782,91,95,50,397
No,Self-Employed,Male,18,53000,488,4,71977,92,94.93345079641834,76,563
No,Self-Employed,Female,49,74000,532,0,150000,17,87.43257834596183,18,314
Yes,Student,Male,58,149000,387,9,102723,235,51.52347947414793,92,841
No,Salaried,Other,50,103000,413,4,150000,51,64.08724722,100,542
Yes,Salaried,Male,69,78000,162,10,150000,356,66.13552618279007,92,850
Yes,Salaried,Female,20,31000,293,9,137825,128,83.61494544449094,94,803
No,Freelancer,Male,47,61000,54,6,150000,148,82.62713582661522,87,641
No,Unemployed,Female,19,19000,496,5,86021,203,75.16480224201598,65,603
Yes,Freelancer,Female,41,108000,209,7,58837,117,75.98560737551402,100,712
No,Self-Employed,Female,21,20000,386,5,34598,87,74.18913557976067,92,623
No,Salaried,Male,36,81000,283,4,150000,74,65.80384952,92,539
Yes,Self-Employed,Male,57,141000,420,8,80746,129,66.81421575410914,100,783
Yes,Unemployed,Male,37,84000,206,8,150000,87,40,100,769
No,Salaried,Male,56,113000,282,5,102721,81,89.68059794962713,87,591
Yes,Salaried,Female,67,94000,356,9,93889,289,57.44750282882663,100,839
No,Self-Employed,Female,33,76000,171,2,150000,63,93.91022333260298,30,410
No,Freelancer,Female,39,58000,415,2,53979,73,92.39997153759589,46,438
Yes,Salaried,Male,52,40000,404,7,98851,336,65.48994232978754,95,717
No,Salaried,Male,32,88000,606,2,150000,116,80.13327850079222,67,414
No,Freelancer,Male,49,80000,241,1,108429,87,95,31,370
Yes,Freelancer,Male,66,53000,204,9,150000,181,40,100,807
No,Salaried,Female,34,46000,411,2,150000,60,64.97344952223958,94,443
No,Salaried,Female,49,113000,556,5,89572,116,66.91426497274949,97,587
Yes,Self-Employed,Male,61,45000,609,9,77726,69,80.77463648,100,809
No,Freelancer,Male,44,92000,213,3,48711,12,85.73068419390674,53,472
No,Self-Employed,Female,47,68000,162,1,150000,105,93.29927996123392,31,391
No,Salaried,Female,67,103000,481,1,148273,16,95,23,383
Yes,Salaried,Male,46,105000,538,10,150000,143,45.79823389347615,93,850
Yes,Freelancer,Male,65,131000,359,8,120110,123,81.11753103468928,90,788
Yes,Salaried,Male,64,38000,281,10,150000,312,70.26340457,91,850
No,Salaried,Male,57,127000,23,5,103249,181,87.54330562960767,81,612
Yes,Salaried,Female,32,35000,16,8,56742,312,75.29971474268282,91,776
Yes,Salaried,Male,60,103000,367,9,150000,233,64.84725563266466,100,832
No,Freelancer,Male,55,143000,509,3,150000,29,93.73067730918885,40,496
Yes,Salaried,Female,56,100000,52,6,64114,108,50.64388936278397,100,660
